language,word_count,subword_count,subword_word_ratio
English,19,26,1.368421052631579
English,11,19,1.7272727272727273
English,14,21,1.5
English,40,47,1.175
English,33,40,1.2121212121212122
English,42,49,1.1666666666666667
English,16,21,1.3125
English,10,16,1.6
English,14,22,1.5714285714285714
English,15,19,1.2666666666666666
English,18,22,1.2222222222222223
English,22,26,1.1818181818181819
English,17,19,1.1176470588235294
English,19,21,1.105263157894737
English,15,17,1.1333333333333333
English,29,35,1.206896551724138
English,29,37,1.2758620689655173
English,33,41,1.2424242424242424
English,39,51,1.3076923076923077
English,36,47,1.3055555555555556
English,46,59,1.2826086956521738
English,45,60,1.3333333333333333
English,48,64,1.3333333333333333
English,42,58,1.380952380952381
English,39,49,1.2564102564102564
English,37,49,1.3243243243243243
English,37,47,1.2702702702702702
English,37,48,1.2972972972972974
English,29,39,1.3448275862068966
English,27,36,1.3333333333333333
English,21,31,1.4761904761904763
English,15,25,1.6666666666666667
English,16,27,1.6875
English,36,51,1.4166666666666667
English,38,53,1.394736842105263
English,36,52,1.4444444444444444
English,43,55,1.2790697674418605
English,41,51,1.2439024390243902
English,42,55,1.3095238095238095
English,18,25,1.3888888888888888
English,10,17,1.7
English,13,18,1.3846153846153846
English,23,29,1.2608695652173914
English,19,23,1.2105263157894737
English,23,27,1.173913043478261
English,23,31,1.3478260869565217
English,19,27,1.4210526315789473
English,18,28,1.5555555555555556
English,13,17,1.3076923076923077
English,17,19,1.1176470588235294
English,14,16,1.1428571428571428
English,30,43,1.4333333333333333
English,30,42,1.4
English,30,44,1.4666666666666666
English,29,49,1.6896551724137931
English,23,41,1.7826086956521738
English,27,46,1.7037037037037037
English,11,13,1.1818181818181819
English,11,14,1.2727272727272727
English,12,15,1.25
English,14,20,1.4285714285714286
English,12,16,1.3333333333333333
English,12,18,1.5
English,24,30,1.25
English,24,30,1.25
English,22,27,1.2272727272727273
English,43,54,1.255813953488372
English,36,46,1.2777777777777777
English,43,53,1.2325581395348837
English,38,56,1.4736842105263157
English,36,54,1.5
English,35,53,1.5142857142857142
English,26,36,1.3846153846153846
English,24,35,1.4583333333333333
English,26,36,1.3846153846153846
English,13,19,1.4615384615384615
English,15,22,1.4666666666666666
English,13,20,1.5384615384615385
English,12,16,1.3333333333333333
English,12,16,1.3333333333333333
English,13,17,1.3076923076923077
